,YEARMODA,MAX,MIN,TEMP1,TEMP2
0,20240601,26.2,18.4,24.2,23.2
1,20240602,24.4,17.1,20.7,24.2
2,20240603,25.7,15.2,22.5,23.1
3,20240604,24.6,15.7,19.3,24.6
4,20240605,23.4,12.8,20.3,23.2
5,20240606,19.3,13.6,19.2,14.9
6,20240607,18.5,9.2,16.6,17.5
7,20240608,17.6,8.9,14.1,17.0
8,20240609,15.5,11.3,12.8,15.4
9,20240610,17.6,8.2,13.5,17.6
10,20240611,18.5,10.5,15.1,17.8
11,20240612,17.9,11.1,14.9,17.5
12,20240613,17.7,11.5,15.2,17.7
13,20240614,,11.5,15.7,18.1
14,20240615,19.0,9.0,16.1,18.9
15,20240616,21.5,14.0,18.0,20.2
16,20240617,22.9,15.4,19.7,20.6
17,20240618,21.7,14.7,18.6,21.4
18,20240619,17.8,12.8,16.1,16.8
19,20240620,20.8,13.2,15.5,20.5
20,20240621,22.2,11.5,18.7,22.1
21,20240622,21.4,10.8,18.6,20.9
22,20240623,23.1,11.6,20.4,22.5
23,20240624,,16.7,19.2,21.0
24,20240625,25.7,12.3,20.6,25.0
25,20240626,25.7,15.9,22.2,25.5
26,20240627,,15.3,22.9,26.9
27,20240628,27.2,17.0,25.4,27.2
28,20240629,23.9,16.6,19.5,22.0
29,20240630,22.7,14.2,20.1,21.1
30,20240701,21.4,16.8,19.9,19.9
31,20240702,23.4,14.0,19.8,23.4
32,20240703,17.4,13.1,14.2,16.6
33,20240704,20.6,13.5,17.7,20.2
34,20240705,19.6,14.0,18.3,19.0
35,20240706,19.0,11.3,11.4,18.7
36,20240707,19.7,15.0,16.6,18.5
37,20240708,21.3,13.8,18.6,21.3
38,20240709,,13.0,19.1,22.5
39,20240710,,12.5,20.1,22.0
40,20240711,,17.0,19.7,20.9
41,20240712,22.7,17.2,19.2,22.2
42,20240713,24.7,16.3,23.1,24.5
43,20240714,21.3,17.3,18.9,20.1
44,20240715,22.3,14.9,19.5,22.0
45,20240716,24.3,15.4,20.6,24.3
46,20240717,24.3,17.9,21.6,23.5
47,20240718,22.5,16.9,19.1,22.5
48,20240719,20.7,16.1,17.7,20.0
49,20240720,22.8,16.1,19.3,19.9
50,20240721,,16.7,19.0,20.7
51,20240722,25.1,16.9,22.3,24.7
52,20240723,,19.5,22.3,24.9
53,20240724,,20.2,22.4,24.2
54,20240725,26.1,18.5,22.3,26.1
55,20240726,26.7,17.9,24.3,26.4
56,20240727,25.1,,22.7,24.8
57,20240728,23.7,,20.9,23.6
58,20240729,24.9,,20.2,24.9
59,20240730,23.5,17.6,18.8,22.7
60,20240731,23.2,14.6,18.9,21.4
61,20240801,21.7,13.7,16.7,21.0
62,20240802,21.7,14.7,16.8,21.7
63,20240803,22.5,14.9,17.8,18.3
64,20240804,21.8,15.3,17.8,19.9
65,20240805,21.0,15.0,19.3,19.6
66,20240806,22.3,16.6,18.8,22.3
67,20240807,22.3,13.3,18.7,21.3
68,20240808,24.0,14.2,21.4,23.9
69,20240809,24.1,17.1,22.2,24.1
70,20240810,21.0,16.5,17.4,21.0
71,20240811,21.0,14.0,18.0,15.2
72,20240812,17.4,12.7,14.7,16.0
73,20240813,23.9,12.2,19.2,23.4
74,20240814,23.8,13.9,20.4,23.8
75,20240815,23.9,14.3,20.7,23.9
76,20240816,21.2,18.3,19.5,20.9
77,20240817,22.6,16.9,20.0,21.4
78,20240818,21.2,12.5,18.5,21.2
79,20240819,22.3,15.1,18.8,22.3
80,20240820,21.0,10.4,17.2,20.9
81,20240821,22.3,16.0,20.8,20.6
82,20240822,22.1,,19.7,20.8
83,20240823,20.3,13.0,18.7,18.2
84,20240824,19.1,15.4,17.8,18.6
85,20240825,25.9,14.4,19.0,25.9
86,20240826,20.0,14.5,17.3,19.7
87,20240827,20.5,15.3,17.9,20.4
88,20240828,21.6,14.2,18.7,21.3
89,20240829,21.9,,16.6,21.8
90,20240830,24.6,16.0,20.7,23.5
91,20240831,,13.7,13.9,18.7
